reqalts , what about spanish food
inform , lebanese food
thankyou , thank you good bye
request , phone number
bye , you goodbye
inform , moderately priced
affirm , yes
null , sil
thankyou , thank you
inform , south expensive
inform , a cheap restaurant serving caribbean food
request , whats the address
request , noise what is the phone number
inform , international food
null , unintelligible
inform , west
request , what type of food do they serve
null , unintelligible
inform , i need a moderately priced restaurant in the north of town
inform , any where
thankyou , thank you good bye
deny , dont want that
inform , cheap restaurant
request , and the post code
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , how about an expensive restaurant that serves european food
inform , i dont care
inform , restaurant center serves spanish food
inform , south
thankyou , thank you good bye
request , what is the phone number
request , phone number
inform , doesnt matter
confirm , is it in the centre of town
request , phone number
thankyou , thank you good bye
inform , i want to find a rest
inform , i want to find a cheap restaurant
inform , a chinese restaurant that serves moderately priced food
inform , any area
thankyou , thank you good bye
thankyou , thank you good bye
inform , moderately priced priced restaurant chinese food
request , whats the address
inform , i want a restaurant in the center
thankyou , thank you good bye
inform , expensive
inform , expensive restaurant
null , uh
bye , good bye
request , what is the phone number
reqalts , is there anything else
inform , i want to find a moderately priced restaurant that serves moroccan food
request , phone number
negate , no
inform , european food
reqalts , is there anything else
request , phone number
inform , doesnt matter
inform , expensive restaurant
reqalts , how about chinese food
inform , um indian food in the north part
inform , it doesnt matter
affirm , right
inform , uh that doesnt matter
inform , dont care
thankyou , thank you good bye
inform , im trying to find a cheap restaurant in the east of town
inform , international food
inform , i need a cheap restaurant in the west part of town
inform , dont care
inform , im looking for a restaurant in the south
request , whats the postcode
inform , can i have an expensive restaurant
thankyou , thank you good bye
inform , i dont care
thankyou , okay thank you good bye
affirm , yes
request , phone number
inform , british food
inform , restaurant with corsica food
null , noise
reqalts , anything else
request , phone number
request , what area is it in
inform , danish
request , what is the area
reqalts , how about a cheap asian oriental restaurant
request , may i have the phone number and address
inform , moderately priced
confirm , is it in the cheap price range
request , address
reqalts , anything else
inform , can i have a cheap restaurant
inform , east
thankyou , thank you good bye
inform , any food
inform , expensive
thankyou , thank you good bye
request , whats the address
request , whats the area
thankyou , thank you good bye
inform , dont care
thankyou , thank you good bye
inform , german
inform , dont care
request , whats the address
inform , north american restaurant expensive
inform , british food in the west part of town
inform , any price range
request , whats the postcode
request , address
inform , restaurant in the north part of town that serves french
request , uh can i have the phone number please
reqalts , is there anything else
thankyou , thank you good bye
request , may i have the phone number
inform , any area
request , phone number
affirm , yes
request , whats the phone number
request , whats the price range
request , the price range
affirm , yes
inform , italian
inform , im looking for an expensive restaurant serving asian oriental
thankyou , thank you good bye
reqalts , is there a restaurant serving british food
inform , dont care
request , address
inform , test food
bye , good bye
inform , indonesian food
request , address
null , unintelligible
null , unintelligible
request , whats the phone number
inform , is doesnt matter
request , what is the address
request , can you repeat the address please
request , what is the address
inform , okay uh forget that then can i get a restaurant serving italian food
thankyou , i know thank you goodbye
request , whats its phone number
affirm , yes
inform , asian oriental
request , phone number
inform , bistro
request , what area
inform , spanish food
null , noise
request , type of food
inform , center of town
request , address
thankyou , thank you good bye
inform , looking for a restaurant in the west part of town that serves bistro food
